Wavelength(nm)	n	k
2440	1.4871	0
2445	1.4871	0
2450	1.487	0
2455	1.4869	0
2460	1.4868	0
2465	1.4867	0
2470	1.4866	0
2475	1.4865	0
2480	1.4864	0
2485	1.4863	0
2490	1.4862	0
2495	1.4861	0
2500	1.486	0
